lead_id,source,budget,city,property_type,last_activity_minutes_ago,past_interactions,notes,status
LEAD001,portal,8500000,Delhi,3BHK,15,4,"Very interested, wants to visit this weekend. Wife loves the location.",contacted
LEAD002,walk-in,12000000,Mumbai,villa,45,6,"Came with family, liked the premium villa. Budget flexible upto 1.5cr",follow_up
LEAD003,website,3500000,Bangalore,2BHK,180,1,"Just browsing, not sure about timeline. Maybe next year",new
LEAD004,referral,25000000,Gurgaon,penthouse,8,3,"Referred by Mr. Sharma (existing customer). Looking for immediate possession",contacted
LEAD005,magicbricks,5500000,Noida,2BHK,2880,2,"Called twice, didn't pick up. Left voicemail",follow_up
LEAD006,99acres,7500000,Pune,3BHK,30,5,"Wants east facing flat. Very particular about vastu compliance",contacted
LEAD007,social_media,4000000,Chennai,2BHK,720,0,"Clicked on Facebook ad. No response to call yet",new
LEAD008,housing.com,9000000,Hyderabad,3BHK,60,3,"IT professional, relocating from Pune. Needs by March end urgently!!",contacted
LEAD009,walk-in,15000000,Mumbai,villa,120,4,"Builder background, asking too many technical questions. Genuine buyer",follow_up
LEAD010,portal,6000000,Delhi,2BHK,1440,1,"Student's father. Looking for investment property near university",new
LEAD011,referral,50000000,Gurgaon,commercial,5,8,"Big corporate client. Wants entire floor for office. PRIORITY!!",contacted
LEAD012,website,2800000,Bangalore,studio,4320,0,"Filled form but wrong number provided",new
LEAD013,99acres,8000000,Noida,3BHK,90,2,"Comparing with 3 other projects. Price sensitive but interested",contacted
LEAD014,magicbricks,11000000,Pune,villa,240,4,"NRI client from US. Video call scheduled for tomorrow",follow_up
LEAD015,walk-in,7000000,Chennai,3BHK,360,3,"Retired govt employee. Cash buyer, wants registry asap",contacted
LEAD016,portal,4500000,Hyderabad,2BHK,10080,1,"Old lead. Callback request after 1 week",follow_up
LEAD017,social_media,3000000,Delhi,1BHK,180,0,"Young professional. First time buyer, needs guidance",new
LEAD018,referral,20000000,Mumbai,penthouse,25,5,"Friend of director. VIP treatment required. Sea view mandatory",contacted
LEAD019,housing.com,5000000,Bangalore,2BHK,480,2,"Looking for rental income property. Wants high ROI areas",contacted
LEAD020,website,6500000,Gurgaon,3BHK,720,1,"IT couple, WFH setup needed. Prefer gated community",new
LEAD021,99acres,9500000,Noida,3BHK,45,4,"Ready to book if 5% discount given. Genuine buyer",contacted
LEAD022,portal,4000000,Pune,2BHK,1200,2,"Budget constraint but likes the project. Exploring loan options",follow_up
LEAD023,walk-in,30000000,Chennai,commercial,15,6,"Entrepreneur, wants showroom space. Immediate requirement",contacted
LEAD024,magicbricks,7200000,Hyderabad,3BHK,300,3,"Joint family, needs 3BHK with servant room",contacted
LEAD025,referral,18000000,Delhi,villa,60,7,"Doctor couple. Looking for farmhouse type property. Weekend visit confirmed",follow_up
LEAD026,social_media,2500000,Mumbai,1BHK,2160,0,"College student enquiry. Probably not serious",new
LEAD027,housing.com,8800000,Bangalore,3BHK,120,4,"Wants possession in 6 months. Checking RERA compliance",contacted
LEAD028,website,5200000,Gurgaon,2BHK,840,1,"Single woman buyer. Safety and location priority",new
LEAD029,99acres,10500000,Noida,villa,30,5,"Upgrade from 3BHK. Current flat in same society",contacted
LEAD030,portal,6800000,Pune,3BHK,480,2,"Marathi speaking only. Send Marathi brochure",follow_up
LEAD031,walk-in,14000000,Chennai,villa,90,4,"Businessman, wants Puja room and garden. Cash deal preferred",contacted
LEAD032,magicbricks,4800000,Hyderabad,2BHK,1680,1,"Govt employee, looking for loan approval first",new
LEAD033,referral,45000000,Delhi,penthouse,10,9,"Celebrity client - confidential. Manager handling communication",contacted
LEAD034,social_media,3200000,Mumbai,2BHK,600,2,"Interested but asking about resale value projections",contacted
LEAD035,housing.com,7800000,Bangalore,3BHK,200,3,"Software engineer, wants smart home features",follow_up
LEAD036,website,9200000,Gurgaon,3BHK,1080,1,"Looking near Metro station. Commute time important",new
LEAD037,99acres,5800000,Noida,2BHK,45,4,"Wife liked the flat. Husband to visit next",contacted
LEAD038,portal,12500000,Pune,villa,300,5,"Second home buyer. Investment purpose only",follow_up
LEAD039,walk-in,8200000,Chennai,3BHK,60,3,"Transferred from Kolkata. Office near T Nagar preferred",contacted
